x_impact_pred,t_impact_pred,intercept_window,distance_to_cover,t_needed,Interception
-1359.0526925632823,19.258114392204362,15.258114392204362,1359.0526925632823,4.530175641877608,Possible
5981.1719778200195,44.82075032767418,40.82075032767418,5981.1719778200195,19.93723992606673,Possible
1979.8339890156142,22.404076162952975,18.404076162952975,1979.8339890156142,6.599446630052047,Possible
4791.53815372897,19.80137239972265,15.801372399722649,4791.53815372897,15.971793845763235,Not possible
8393.694459908595,44.216465764843505,40.216465764843505,8393.694459908595,27.978981533028648,Possible
-949.544224473249,17.36946490500126,13.369464905001259,949.544224473249,3.16514741491083,Possible
7286.62235835883,27.695375486069473,23.695375486069473,7286.62235835883,24.288741194529432,Not possible
-3475.615259374689,23.493875132408412,19.493875132408412,3475.615259374689,11.58538419791563,Possible
-3115.3815432336,25.958434301896794,21.958434301896794,3115.3815432336,10.384605144112,Possible
2155.2067107459834,13.999914511992824,9.999914511992824,2155.2067107459834,7.184022369153278,Possible
1129.7628710007398,13.815497741926881,9.815497741926881,1129.7628710007398,3.7658762366691327,Possible
-2963.172184848499,15.563698349341278,11.563698349341278,2963.172184848499,9.877240616161663,Possible
-2809.9113125806693,28.86780880843089,24.86780880843089,2809.9113125806693,9.366371041935565,Possible
-2139.5365221105594,23.788858158966963,19.788858158966963,2139.5365221105594,7.131788407035198,Possible
5272.872524661438,23.93207660054112,19.93207660054112,5272.872524661438,17.57624174887146,Possible
-3092.5599831013733,31.900654335400578,27.900654335400578,3092.5599831013733,10.308533277004578,Possible
3885.2855349960596,27.96963572927883,23.96963572927883,3885.2855349960596,12.950951783320198,Possible
-2047.4711665049501,15.143843529545066,11.143843529545066,2047.4711665049501,6.824903888349834,Possible
-1439.6753417264217,16.760589790940802,12.760589790940802,1439.6753417264217,4.798917805754739,Possible
-2671.8107575070608,25.49564329311641,21.49564329311641,2671.8107575070608,8.90603585835687,Possible
-2275.0973201833704,17.823867651080835,13.823867651080835,2275.0973201833704,7.583657733944568,Possible
6921.7890671612695,26.166626739013076,22.166626739013076,6921.7890671612695,23.0726302238709,Not possible
3086.7485147521948,39.17418199235584,35.17418199235584,3086.7485147521948,10.289161715840649,Possible
-2436.698446128487,19.947752107546833,15.947752107546833,2436.698446128487,8.122328153761623,Possible
3290.8322856412688,31.919653368858334,27.919653368858334,3290.8322856412688,10.969440952137562,Possible
-2668.473191003741,28.524510106615516,24.524510106615516,2668.473191003741,8.894910636679136,Possible
1914.4496736428785,17.85283133822185,13.85283133822185,1914.4496736428785,6.381498912142928,Possible
-1463.0670207192422,18.643512403950048,14.643512403950048,1463.0670207192422,4.876890069064141,Possible
-3125.372360904088,26.18214360129387,22.18214360129387,3125.372360904088,10.417907869680294,Possible
-5039.09668642189,27.850494091364908,23.850494091364908,5039.09668642189,16.796988954739632,Possible
2147.0038189769184,25.38757993530505,21.38757993530505,2147.0038189769184,7.156679396589728,Possible
4944.021770220244,22.145782177823335,18.145782177823335,4944.021770220244,16.480072567400814,Possible
4005.591098051206,33.531293063858165,29.531293063858165,4005.591098051206,13.351970326837353,Possible
2153.6070850359124,28.809134643799947,24.809134643799947,2153.6070850359124,7.178690283453041,Possible
-1188.642804189788,11.080932284626922,7.080932284626922,1188.642804189788,3.9621426806326268,Possible
2401.659075295014,27.889136847195086,23.889136847195086,2401.659075295014,8.00553025098338,Possible
-1135.3959384191423,13.497287004667255,9.497287004667255,1135.3959384191423,3.7846531280638076,Possible
2254.018497111972,19.383183199020372,15.383183199020372,2254.018497111972,7.51339499037324,Possible
7372.2872487463765,46.694004453573044,42.694004453573044,7372.2872487463765,24.574290829154588,Possible
-1639.463506973442,19.82628411940753,15.826284119407529,1639.463506973442,5.46487835657814,Possible
-1591.6998250602576,28.01990271753479,24.01990271753479,1591.6998250602576,5.305666083534192,Possible
2497.8167345177235,29.97640698828466,25.97640698828466,2497.8167345177235,8.326055781725746,Possible
-2698.880535132169,29.919898608539867,25.919898608539867,2698.880535132169,8.996268450440564,Possible
2123.0889084185574,12.893749272629139,8.893749272629139,2123.0889084185574,7.076963028061858,Possible
-8704.287763209464,47.22285327860783,43.22285327860783,8704.287763209464,29.014292544031548,Possible
1454.0946518714347,16.37695320799612,12.37695320799612,1454.0946518714347,4.846982172904783,Possible
3721.151401049635,20.97224577377514,16.97224577377514,3721.151401049635,12.403838003498782,Possible
4449.085810958032,36.18414573674338,32.18414573674338,4449.085810958032,14.830286036526774,Possible
5861.445074042957,33.23669861414209,29.236698614142092,5861.445074042957,19.538150246809856,Possible
5797.7760427118055,52.42871817361828,48.42871817361828,5797.7760427118055,19.325920142372684,Possible
1807.637712873604,14.365441170156728,10.365441170156728,1807.637712873604,6.025459042912013,Possible
-7484.38249424112,36.18406269618697,32.18406269618697,7484.38249424112,24.9479416474704,Possible
3174.609846185709,29.06007443720413,25.06007443720413,3174.609846185709,10.58203282061903,Possible
-6491.508364626597,23.787679580363807,19.787679580363807,6491.508364626597,21.638361215421988,Not possible
3145.9847974039017,31.761095301884993,27.761095301884993,3145.9847974039017,10.486615991346339,Possible
-8567.473948507184,47.46507649833536,43.46507649833536,8567.473948507184,28.558246495023948,Possible
7192.276402812689,38.87851447516932,34.87851447516932,7192.276402812689,23.9742546760423,Possible
-5705.194059103204,32.251860867514104,28.251860867514104,5705.194059103204,19.017313530344016,Possible
1492.3256659757205,17.257123837581027,13.257123837581027,1492.3256659757205,4.9744188865857355,Possible
3185.0471343658423,26.573326749487418,22.573326749487418,3185.0471343658423,10.616823781219475,Possible
